Oman,2.141.695.443,5.612.017.037,4/15/2020,775,910,4
Ecuador,-18.312,-781.834,4/26/2020,20777,22719,576
Georgia,423.154,433.569,3/11/2020,,24,0
Barbados,131.939,-595.432,4/3/2020,51,51,0
Qatar,253.548,511.839,3/15/2020,,401,0
Albania,411.533,201.683,4/9/2020,221,409,23
Zimbabwe,-1.903.553.033,2.917.210.569,3/27/2020,4,5,1
Iceland,649.631,-190.208,3/25/2020,679,737,2
Indonesia,-7.893,1.139.213,3/27/2020,913,1046,87
San Marino,439.424,12.4578,3/3/2020,,10,1
Angola,-112.027,178.739,4/27/2020,19,27,2
Poland,519.194,191.451,3/11/2020,,31,0
Slovenia,461.512,149.955,4/29/2020,1099,1418,89
Azerbaijan,401.431,475.769,3/20/2020,,44,1
Kuwait,2.934.490.177,4.752.910.591,3/4/2020,,56,0
El Salvador,137.942,-888.965,3/23/2020,3,3,0
Syria,34.802.075,38.996.815,4/15/2020,26,33,2
Canada,5.012.857.329,-8.882.930.329,4/25/2020,26932,45493,2549
Cambodia,1.171.430.441,1.049.287.191,3/8/2020,,2,0
Sri Lanka,7.757.510.853,8.080.200.087,4/23/2020,254,368,7
Germany,511.364.526,1.019.537.091,2/13/2020,,16,0
US,3.805.993.402,-908.433.986,2/1/2020,,8,0
Egypt,2.667.575.575,3.066.088.097,4/25/2020,2898,4319,307
Iraq,3.318.380.554,437.358.879,5/3/2020,709,2296,97
Saint Lucia,139.094,-609.789,4/3/2020,12,13,0
North Macedonia,416.086,217.453,4/15/2020,831,974,45
Vietnam,1.440.096.953,1.082.282.817,3/1/2020,,16,0
Singapore,1.292.405.882,1.038.315.132,3/16/2020,,243,0
Benin,9.3077,2.3158,3/28/2020,6,6,0
Japan,3.616.867.541,1.382.082.872,4/8/2020,3542,4257,93
Seychelles,-46.796,55.492,4/15/2020,11,11,0
France,8.031.540.935,-1.840.149.032,4/24/2020,93402,159952,22279
United Arab Emirates,2.350.030.547,5.386.795.656,2/21/2020,,9,0
Luxembourg,4.981.516.765,6.129.908.824,3/18/2020,,203,2
Uganda,1.365.555.229,322.842.276,4/10/2020,53,53,0
Haiti,189.712,-722.852,4/28/2020,62,76,6
Guatemala,157.835,-902.308,4/5/2020,44,61,2
Nigeria,9.082,8.6753,4/13/2020,242,343,10
Mexico,2.352.252.941,-1.024.552.471,3/4/2020,,5,0
Philippines,1.289.563.657,1.218.039.235,3/26/2020,634,707,45
Nepal,2.820.697.059,8.422.776.471,2/10/2020,,1,0
Australia,-2.950.541.803,141.133.904,4/23/2020,2462,6661,75
Ecuador,-18.312,-781.834,4/7/2020,3456,3747,191
Kuwait,2.934.490.177,4.752.910.591,3/23/2020,159,189,0
The Bahamas,2.494.320.527,-7.778.349.434,4/16/2020,39,53,8
Saint Kitts and Nevis,17.357.822,-62.782.998,4/19/2020,14,14,0
Oman,2.141.695.443,5.612.017.037,5/4/2020,1809,2637,12
Cambodia,1.171.430.441,1.049.287.191,3/19/2020,,37,0
Dominican Republic,187.357,-701.627,3/31/2020,1053,1109,51
US,3.805.993.402,-908.433.986,2/20/2020,,15,0
Congo (Kinshasa),-4.268.557.052,1.653.063.474,3/30/2020,71,81,8
Netherlands,2.393.416.965,-4.829.358.405,4/11/2020,21627,24571,2653
Albania,411.533,201.683,4/20/2020,231,584,26
Syria,34.802.075,38.996.815,5/4/2020,14,44,3
Bosnia and Herzegovina,439.159,176.791,3/9/2020,,3,0
MS Zaandam,0,0,3/31/2020,2,2,0
Iraq,3.318.380.554,437.358.879,4/12/2020,636,1352,76
Iceland,649.631,-190.208,3/6/2020,,43,0
Poland,519.194,191.451,4/1/2020,2464,2554,43
Qatar,253.548,511.839,3/28/2020,544,590,1
Germany,511.364.526,1.019.537.091,2/24/2020,,16,0
Belize,1.710.303.044,-8.786.815.652,3/29/2020,2,2,0
Slovenia,461.512,149.955,4/16/2020,1033,1268,61
United Kingdom,2.849.778.289,-4.010.833.153,4/14/2020,82393,94845,12129
Georgia,423.154,433.569,4/1/2020,94,117,0
Equatorial Guinea,1.642.422.222,1.025.301.667,4/2/2020,14,15,0
Thailand,1.575.487.506,100.993.521,1/23/2020,,3,
Martinique,146.415,-610.242,3/15/2020,,9,0
Canada,5.012.857.329,-8.882.930.329,4/4/2020,0,12978,218
Angola,-112.027,178.739,4/6/2020,12,16,2
Egypt,2.667.575.575,3.066.088.097,4/4/2020,758,1070,71
Timor-Leste,-8.867.462.479,1.257.240.486,4/6/2020,1,1,0
Serbia,440.165,210.059,4/27/2020,5635,6630,125
China,3.281.307.921,1.116.545.378,3/23/2020,5403,81496,3274
Jordan,311.606.303,3.647.707.879,3/5/2020,,1,0
Vietnam,1.440.096.953,1.082.282.817,4/11/2020,114,258,0
Saudi Arabia,239.046.623,4.506.617.036,3/12/2020,,45,0
Senegal,144.974,-144.524,3/17/2020,,26,0
Finland,6.229.044.221,2.579.260.143,3/9/2020,,30,0
Benin,9.3077,2.3158,5/6/2020,44,96,2
Panama,8.538,-807.821,3/15/2020,,43,1
Guinea,9.9456,-96.966,3/29/2020,16,16,0
Austria,475.162,145.501,3/5/2020,,41,0
Nepal,2.820.697.059,8.422.776.471,4/23/2020,38,48,0
Maldives,3.2028,732.207,3/31/2020,5,18,0
France,8.031.540.935,-1.840.149.032,2/13/2020,,11,0
Japan,3.616.867.541,1.382.082.872,2/29/2020,,241,5
Korea,South,3.591.094.447,1.277.749.558,5/6/2020,1135,10810
Sudan,12.8628,302.176,3/19/2020,,2,1
Spain,4.038.184.778,-3.793.472.647,2/8/2020,,1,0
Saint Lucia,139.094,-609.789,3/14/2020,,1,0
Denmark,6.250.602.841,-1.071.009.659,2/27/2020,,1,0
Mauritania,210.079,-1.014.510.546,3/25/2020,2,2,0
North Macedonia,416.086,217.453,5/5/2020,427,1526,86
Turkey,389.637,352.433,4/26/2020,78185,110130,2805
Philippines,1.289.563.657,1.218.039.235,3/6/2020,,5,1
Guatemala,157.835,-902.308,4/25/2020,415,473,13
Namibia,-229.576,184.904,4/8/2020,13,16,0
Thailand,1.575.487.506,100.993.521,3/30/2020,1286,1524,9
Seychelles,-46.796,55.492,5/5/2020,3,11,0
Portugal,393.999,-82.245,3/31/2020,7240,7443,160
Romania,4.595.155.294,2.497.168.235,5/6/2020,7455,14107,864
Singapore,1.292.405.882,1.038.315.132,3/28/2020,602,802,2
Luxembourg,4.981.516.765,6.129.908.824,3/30/2020,1926,1988,22
Antigua and Barbuda,170.608,-617.964,4/17/2020,17,23,3
Czech Republic,498.175,15.473,3/2/2020,,3,0
Saint Barthélemy,17.9,-628.333,3/6/2020,,3,0
Colombia,4.5709,-742.973,3/25/2020,458,470,4
Fiji,-177.134,178.065,3/26/2020,5,5,0
Andorra,425.063,1.5218,4/4/2020,428,466,17
Belarus,537.098,279.534,4/3/2020,294,351,4
Dominican Republic,187.357,-701.627,3/15/2020,,11,0
San Marino,439.424,12.4578,4/4/2020,200,259,32
Kyrgyzstan,4.120.438.157,7.476.609.816,4/5/2020,137,147,1
Bhutan,275.142,904.336,4/16/2020,3,5,0
Belgium,5.078.970.294,4.387.001.353,3/14/2020,,689,4
Ukraine,483.794,311.656,4/6/2020,1253,1319,38
Saint Kitts and Nevis,17.357.822,-62.782.998,5/5/2020,3,15,0
Japan,3.616.867.541,1.382.082.872,1/23/2020,,1,
Sweden,6.063.496.128,1.817.700.069,2/14/2020,,1,0
Sri Lanka,7.757.510.853,8.080.200.087,3/22/2020,79,82,0
El Salvador,137.942,-888.965,4/24/2020,191,274,8
Indonesia,-7.893,1.139.213,4/28/2020,7484,9511,773
Somalia,5.152.143.453,4.619.961.419,5/3/2020,646,722,32
Azerbaijan,401.431,475.769,4/21/2020,595,1480,20
Grenada,12.1165,-61.679,5/4/2020,8,21,0
Bosnia and Herzegovina,439.159,176.791,3/25/2020,171,176,3
Bolivia,-162.902,-635.887,4/16/2020,398,441,29
Niger,1.760.778.945,8.081.667.388,4/14/2020,466,570,14
Equatorial Guinea,1.642.422.222,1.025.301.667,3/17/2020,,1,0
Iran,3.235.239.377,5.356.662.003,3/1/2020,,978,54
Estonia,585.953,250.136,4/5/2020,1020,1097,15
Turkey,389.637,352.433,3/20/2020,,359,4
Moldova,474.116,283.699,4/9/2020,1210,1289,29
Thailand,1.575.487.506,100.993.521,5/2/2020,180,2966,54
Djibouti,11.8251,425.903,5/7/2020,331,1133,3
